{0.51, 2.6937338648509704*^61}
{0.52, 3.7908856615532826*^61}
{0.53, 3.9270741583618875*^61}
{0.54, 4.5277322796552396*^61}
{0.55, 3.9110668168188646*^61}
{0.56, 3.6343604718525786*^61}
{0.5700000000000001, 3.589237729723495*^61}
{0.58, 2.957881452795319*^61}
{0.59, 2.695350473688492*^61}
{0.6, 2.0077148574143987*^61}
{0.61, 1.838557142889343*^61}
{0.62, 1.5655361350839588*^61}
{0.63, 1.2095185592043751*^61}
{0.64, 1.0705512173615184*^61}
{0.65, 8.923752811494861*^60}
{0.66, 7.395587258080886*^60}
{0.67, 6.0022348051363444*^60}
{0.6799999999999999, 5.1074573988052824*^60}
{0.69, 3.972275560779035*^60}
{0.7, 3.378744873508064*^60}
{0.71, 2.58286243587003*^60}
{0.72, 2.1059286274276766*^60}
{0.73, 1.6040858288412027*^60}
{0.74, 1.3644870159017079*^60}
{0.75, 1.1385143952822829*^60}
{0.76, 9.385755897214879*^59}
{0.77, 7.160852792302467*^59}
{0.78, 5.959118128849861*^59}
{0.79, 4.74664432912933*^59}
{0.8, 3.8620235807235086*^59}
{0.81, 3.127753041999224*^59}
{0.8200000000000001, 2.5572224546723147*^59}
{0.8300000000000001, 1.8590450377132595*^59}
{0.8400000000000001, 1.597809977346041*^59}
{0.8500000000000001, 1.3273009352124123*^59}
